method,celltype,n_comparable,n_method_nonzero,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline,comparison_status
DWLS,ExNeuron1,190,184,0.968421052631579,0.7053911781549052,0.4995393080007286,0.1595279476552658,0.16899805746019528,0.010083416157368422,evaluable
DWLS,VLMC1,190,190,1,0.4211479833965367,0.19366625043792657,0.0185818230832627,0.024371051408245043,0.008453336489157895,evaluable
DWLS,OPC3,190,188,0.9894736842105263,0.4202550093624555,0.3598556409212105,0.00692317891590518,0.010272092636780071,0.0048233191119473684,evaluable
DWLS,Astrocytes5,190,187,0.9842105263157894,0.3547365004777402,0.4685228018112481,0.013530214861045387,0.015507937546558732,0.011549509694473685,evaluable
DWLS,Microglia3,190,190,1,0.3408302606428812,0.3074406892492903,0.03456251818936489,0.03999689325185024,0.006153166662947369,evaluable
DWLS,Pericytes,190,189,0.9947368421052631,0.32577167176230276,0.21345854473985384,0.011164302889472986,0.011548730356991043,0.01194680951668421,evaluable
DWLS,SMC,190,190,1,0.28385011394104803,0.2686834262008402,0.04607002608337609,0.05468860962891395,0.008623280286,evaluable
DWLS,Microglia5,190,190,1,0.268721542075083,0.11369598868839564,0.026577440409448257,0.03925395997486001,0.03575737367263158,evaluable
DWLS,Astrocytes2,190,190,1,0.21855073985137363,0.252873359311275,0.07737022161003834,0.09651749563019624,0.019147274020157895,evaluable
DWLS,OPC1,190,95,0.5,0.16079415956359847,0.12383572495089284,0.005342981066789459,1.4811082308488725e-17,0.005342981066789473,evaluable
DWLS,ExNeuron8,190,108,0.5684210526315789,0.13816414723363868,0.23469689538073624,0.004278947388526291,2.4730184111880894e-17,0.004278947388526316,evaluable
DWLS,Microglia2,190,190,1,0.11557077685487714,0.03555760218888525,0.05952039317944513,0.06707550701647712,0.007618780371842105,evaluable
DWLS,ExNeuron3,190,91,0.4789473684210526,0.10334271796529458,-0.010626298523613758,0.03663364156010524,2.3464044103630067e-17,0.03663364156010526,evaluable
DWLS,ExNeuron4,190,88,0.4631578947368421,0.08662257582377537,0.1245163136095333,0.025306797964894715,2.2497357044469824e-17,0.025306797964894736,evaluable
DWLS,Oligodendrocytes5,190,105,0.5526315789473685,0.07887947193135547,0.05330907904996051,0.012351145075473673,1.0521251916266667e-17,0.012351145075473684,evaluable
DWLS,Oligodendrocytes3,190,98,0.5157894736842106,0.07375001495201425,-0.08820945111023724,0.006659792247382508,8.614069655112772e-10,0.006659793108789474,evaluable
DWLS,Microglia1,190,145,0.7631578947368421,0.06009847647184226,0.07765102418789468,0.009696041811394497,0.0056135892715743815,0.00793070067336842,evaluable
DWLS,ExNeuron13,190,184,0.968421052631579,0.03327129538691938,-0.020917727574748097,0.0833359847292979,0.08630885846372667,0.004782774680736842,evaluable
DWLS,Endothelial,190,190,1,0.027554925708687075,0.07334532591351879,0.09384739148650519,0.10879989190611992,0.018165526851578948,evaluable
DWLS,ExNeuron11,190,89,0.46842105263157896,0.019184967894315064,0.1040023646210507,0.005259023207894715,2.2066248991548397e-17,0.005259023207894737,evaluable
DWLS,Oligodendrocytes6,190,102,0.5368421052631579,0.014181448395349506,0.0709086012542815,0.011851812384947367,2.2150262496206304e-18,0.011851812384947369,evaluable
DWLS,Oligodendrocytes1,190,109,0.5736842105263158,0.01095939095676275,-0.08894209546628272,0.018191682540081897,1.4318154968189307e-7,0.01819182572163158,evaluable
DWLS,Astrocytes3,190,97,0.5105263157894737,0.0012876808965234725,0.019002632048637846,0.006214297457409197,1.770774945325163e-4,0.0061818887582105264,evaluable
DWLS,Oligodendrocytes2,190,190,1,-0.005690491499254243,-0.23034154081969557,0.07214151212825856,0.04004164759622302,0.07044682996021052,evaluable
DWLS,Astrocytes4,190,100,0.5263157894736842,-0.013315606830432921,-0.09044167795044901,0.007261622400305943,2.8627958139121302e-5,0.0072635210404736845,evaluable
DWLS,Astrocytes1,190,95,0.5,-0.04148932405701468,0.053062304607075166,0.010503152424684201,9.766752480330005e-18,0.010503152424684211,evaluable
DWLS,Oligodendrocytes8,190,104,0.5473684210526316,-0.06446443252003671,-0.062061153927764776,0.014478694016871714,1.9257774707233164e-5,0.014497951791578947,evaluable
DWLS,VLMC2,190,121,0.6368421052631579,-0.07930668822469687,0.09910766872830126,0.008457034995635736,1.5192844460696007e-4,0.008598161296842105,evaluable
DWLS,ExNeuron10,190,99,0.5210526315789473,-0.0821320894473026,-0.06909901559626017,0.003981078582789443,3.0482730791035665e-17,0.003981078582789474,evaluable
DWLS,Oligodendrocytes7,190,101,0.531578947368421,-0.08710080077467194,-0.06357645875054611,0.01854091119193462,5.114617064056954e-8,0.018540962338105264,evaluable
DWLS,ExNeuron2,190,96,0.5052631578947369,-0.1061355880132521,-0.13956970834316923,0.0037838258511578684,2.6322225155224328e-17,0.003783825851157895,evaluable
DWLS,ExNeuron12,190,170,0.8947368421052632,-0.11271107496388566,-0.06535714666547277,0.07458243565952798,0.07658809982769184,0.004955647944578948,evaluable
DWLS,InhNeuron3,190,116,0.6105263157894737,-0.11752535241625219,-0.22812740817935967,0.005480730410510522,0.0018768510528640505,0.003956864110157895,evaluable
DWLS,Microglia4,190,105,0.5526315789473685,-0.12300811710324104,-0.05457171657099857,0.008435524479109014,5.811278572312057e-8,0.008435582591894737,evaluable
DWLS,OPC2,190,98,0.5157894736842106,-0.1427123227968346,-0.13222804546147435,0.004887974898757597,1.2544371084189778e-4,0.004796832470210526,evaluable
DWLS,Oligodendrocytes4,190,111,0.5842105263157895,-0.150377409271857,-0.06312565069690222,0.0069435635665546485,8.339428745675702e-8,0.006943646960842105,evaluable
DWLS,InhNeuron1,190,98,0.5157894736842106,-0.17883893165556158,-0.11902374888879218,0.004443738546485776,2.4017562536695708e-4,0.004353097350368421,evaluable
DWLS,ExNeuron7,190,111,0.5842105263157895,-0.18728869843428772,-0.22839861428651237,0.009298503432863871,0.0034685429040249697,0.006024767298210526,evaluable
DWLS,InhNeuron4,190,125,0.6578947368421053,-0.2175878211865226,-0.2323948048208066,0.006364244793079209,0.003476256766878184,0.004364633660842106,evaluable
DWLS,ExNeuron14,190,120,0.631578947368421,-0.22486986842440354,-0.2618627248924563,0.009000544565033103,0.004312442053785206,0.005652648831578948,evaluable
DWLS,InhNeuron2,190,172,0.9052631578947369,-0.2323965410868651,-0.22435892542252803,0.03470615387005232,0.036308699836124426,0.005002049062789474,evaluable
DWLS,ExNeuron9,190,123,0.6473684210526316,-0.2757255827621441,-0.125325094268659,0.005707114455248974,5.099572687023207e-4,0.005652242302210527,evaluable
DWLS,ExNeuron5,190,93,0.48947368421052634,-0.30770677710785765,-0.2597280750796174,0.015034696267123723,0.011161084041701077,0.0040968701860526315,evaluable
DWLS,Fibroblast,190,190,1,-0.3261915696746228,-0.4611750144674362,0.47058471598020846,0.023397973072423105,0.4939826890526316,evaluable
DWLS,InhNeuron5,190,135,0.7105263157894737,-0.36561519412870386,-0.39201122779555514,0.023214470632044237,0.021470209362420428,0.004377099598105263,evaluable
DWLS,ExNeuron6,190,159,0.8368421052631579,-0.6315956207447037,-0.3160812036586907,0.05694393495794326,0.04769271396027734,0.012696711605736842,evaluable
